epoch,step,train_loss,val_acc,val_loss
0,249,,0.9178082346916199,0.20401939749717712
0,249,0.3134527802467346,,
1,499,,0.9539228081703186,0.12066188454627991
1,499,0.1691139191389084,,
2,749,,0.9813200235366821,0.07862617075443268
2,749,0.11825080215930939,,
3,999,,0.9825654029846191,0.06553301960229874
3,999,0.10046825557947159,,
